 680: LuaParticlePrototype
 636: LuaRecipe
 576: LuaTechnology
 528: LuaEntityPrototype
 235: LuaItemPrototype
 212: LuaRecipePrototype
 192: LuaTechnologyPrototype
  95: LuaGroup
  60: LuaNoiseLayerPrototype
  52: LuaTilePrototype
  52: LuaVirtualSignalPrototype
  46: LuaElectricEnergySourcePrototype
  43: LuaDecorativePrototype
  38: LuaAchievementPrototype
  32: LuaNamedNoiseExpression
  30: LuaFontPrototype
  28: LuaFluidBoxPrototype
  22: LuaTrivialSmokePrototype
  14: LuaAmmoCategoryPrototype
  13: LuaEquipmentPrototype
  12: LuaShortcutPrototype
  10: LuaBurnerPrototype
   9: LuaFluidPrototype
   9: LuaRecipeCategoryPrototype
   8: LuaDamagePrototype
   8: LuaAutoplaceControlPrototype
   8: LuaCustomInputPrototype
   6: LuaGuiElement
   6: LuaStyle
   5: LuaVoidEnergySourcePrototype
   4: LuaEquipmentGridPrototype
   4: LuaHeatBufferPrototype
   3: LuaEntityBuildFlowStatistics
   3: LuaKillCountFlowStatistics
   3: LuaFluidProductionFlowStatistics
   3: LuaModuleCategoryPrototype
   3: LuaForce
   3: LuaItemProductionFlowStatistics
   2: LuaFuelCategoryPrototype
   2: LuaItemStack
   2: LuaResourceCategoryPrototype
   1: LuaHeatEnergySourcePrototype
   1: LuaPermissionGroup
   1: LuaPollutionFlowStatistics
   1: LuaSurface
   1: LuaPermissionGroups
   1: LuaEquipmentCategoryPrototype
   1: LuaPlayer
   1: LuaGui
